date,day_of_week,instrument,expiry_week,entry_time,exit_time,entry_price,exit_price,direction,move_pts,pnl_pts,pnl_inr_1lot,result,score,signal_count,sig_oi_quadrant,sig_futures_basis,sig_pcr,sig_oi_velocity,sig_strike_defense,sig_fii_signature,pcr_value,spot_price,call_wall,put_wall,dte,regime_5d_ret_pct,extreme_regime,has_live_oi,fii_fut_level,fii_cash_lag1,notes
2026-01-02,Friday,NIFTY-FUT-NSE,False,2026-01-02 09:15:00,2026-01-02 15:29:00,26315.0,26478.3,LONG,163.3,163.3,4082.5,WIN,0.4999,6,1,1,-1,1,1,-1,1.131,26146.55,27000,26000,4,0.4,False,True,-1,-1,"long_buildup p=+17 oi=+158 | contango fut=26315 spot=26147 basis=+0.56% | bearish_pcr pcr=1.13 ma=1.13 | put_writing_dominant atm_net_vel=350.1 ce=443.6 pe=793.7 | lower_range_bullish ltp=26315 call=27000 put=26000 pos=0.32 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=360.8]"
2026-01-05,Monday,NIFTY-FUT-NSE,False,2026-01-05 09:15:00,2026-01-05 15:29:00,26506.2,26329.0,NO_TRADE,-177.2,,,,-0.0996,5,1,1,-1,-1,0,-1,1.463,26328.55,27000,26000,1,1.49,False,True,-1,1,"long_buildup p=+8 oi=+574 | contango fut=26506 spot=26329 basis=+0.65% | extreme_puts_bearish pcr=1.46 ma=1.30 | call_writing_dominant atm_net_vel=-58.4 ce=1022.5 pe=964.1 | mid_range ltp=26506 call=27000 put=26000 pos=0.51 | FII_SHORT [fut_level=SHORT, cash=BUY, oi_velocity_convergence=-236.4]"
2026-01-06,Tuesday,NIFTY-FUT-NSE,True,2026-01-06 09:15:00,2026-01-06 15:29:00,26353.1,26281.9,NO_TRADE,-71.2,,,,-0.1918,5,-1,1,0,-1,1,-1,0.999,26250.3,27000,26000,1,1.2,False,True,-1,1,"short_buildup p=-0 oi=+31 | contango fut=26353 spot=26250 basis=+0.37% | neutral_pcr pcr=1.00 ma=1.20 | call_writing_dominant atm_net_vel=-431.0 ce=1998.8 pe=1567.8 | lower_range_bullish ltp=26353 call=27000 put=26000 pos=0.35 | FII_SHORT [fut_level=SHORT, cash=BUY, oi_velocity_convergence=-638.8]"
2026-01-07,Wednesday,NIFTY-FUT-NSE,False,2026-01-07 09:15:00,2026-01-07 15:29:00,26229.4,26237.9,LONG,8.5,8.5,212.5,WIN,0.7463,3,1,0,0,1,1,0,0.914,26178.7,27000,26150,6,0.19,False,True,-1,0,"long_buildup p=+5 oi=+1209 | neutral fut=26229 spot=26179 basis=+0.06% | neutral_pcr pcr=0.91 ma=1.13 | put_writing_dominant atm_net_vel=64.6 ce=244.9 pe=309.5 | near_put_wall ltp=26229 call=27000 put=26150 pos=0.09 | FII_mixed [fut_level=SHORT, oi_velocity_convergence=53.4]"
2026-01-08,Thursday,NIFTY-FUT-NSE,False,2026-01-08 09:15:00,2026-01-08 15:29:00,26189.0,25965.0,SHORT,-224.0,224.0,5600.0,WIN,-0.454,5,-1,0,1,-1,1,-1,0.887,26140.75,27000,26000,5,-0.02,False,True,-1,-1,"short_buildup p=-14 oi=+322 | neutral fut=26189 spot=26141 basis=+0.07% | bullish_pcr pcr=0.89 ma=1.08 | call_writing_dominant atm_net_vel=-175.2 ce=309.1 pe=133.9 | lower_range_bullish ltp=26189 call=27000 put=26000 pos=0.19 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=-209.8]"
2026-01-09,Friday,NIFTY-FUT-NSE,False,2026-01-09 09:15:00,2026-01-09 15:29:00,25962.0,25810.8,NO_TRADE,-151.2,,,,-0.1599,5,1,1,1,-1,0,-1,0.664,25876.85,27000,25000,4,-1.72,False,True,-1,-1,"long_buildup p=+22 oi=+114 | contango fut=25962 spot=25877 basis=+0.24% | extreme_calls_bullish pcr=0.66 ma=0.99 | call_writing_dominant atm_net_vel=-570.0 ce=1799.7 pe=1229.7 | mid_range ltp=25962 call=27000 put=25000 pos=0.48 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=-718.1]"
2026-01-12,Monday,NIFTY-FUT-NSE,False,2026-01-12 09:15:00,2026-01-12 15:29:00,25770.2,25880.0,NO_TRADE,109.8,,,,-0.1363,6,1,1,1,-1,-1,-1,0.622,25683.3,26000,25000,1,-2.16,False,True,-1,-1,"long_buildup p=+0 oi=+551 | contango fut=25770 spot=25683 basis=+0.32% | extreme_calls_bullish pcr=0.62 ma=0.82 | call_writing_dominant atm_net_vel=-961.2 ce=2116.5 pe=1155.3 | upper_range_bearish ltp=25770 call=26000 put=25000 pos=0.77 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=-994.2]"
2026-01-13,Tuesday,NIFTY-FUT-NSE,True,2026-01-13 09:15:00,2026-01-13 15:29:00,25925.8,25780.4,NO_TRADE,-145.4,,,,-0.2774,6,-1,1,1,-1,-1,-1,0.895,25790.25,26000,25000,1,-1.48,False,True,-1,-1,"long_unwind p=-9 oi=-398 | contango fut=25926 spot=25790 basis=+0.50% | bullish_pcr pcr=0.90 ma=0.80 | call_writing_dominant atm_net_vel=-1045.4 ce=2541.6 pe=1496.2 | near_call_wall ltp=25926 call=26000 put=25000 pos=0.93 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=-1414.7]"
2026-01-14,Wednesday,NIFTY-FUT-NSE,False,2026-01-14 09:15:00,2026-01-14 15:29:00,25741.6,25728.0,LONG,-13.6,-13.6,-340.0,LOSS,0.592,4,1,0,1,1,1,0,0.791,25732.3,26000,25700,6,-1.56,False,True,-1,0,"long_buildup p=+5 oi=+1186 | neutral fut=25742 spot=25732 basis=-0.10% | bullish_pcr pcr=0.79 ma=0.77 | put_writing_dominant atm_net_vel=209.3 ce=162.8 pe=372.1 | near_put_wall ltp=25742 call=26000 put=25700 pos=0.14 | FII_mixed [fut_level=SHORT, oi_velocity_convergence=223.2]"
2026-01-16,Friday,NIFTY-FUT-NSE,False,2026-01-16 09:15:00,2026-01-16 15:29:00,25775.4,25749.4,SHORT,-26.0,26.0,650.0,WIN,-0.3333,6,-1,1,1,-1,-1,-1,0.81,25665.6,26000,25000,4,-0.82,False,True,-1,-1,"short_buildup p=-6 oi=+266 | contango fut=25775 spot=25666 basis=+0.34% | bullish_pcr pcr=0.81 ma=0.76 | call_writing_dominant atm_net_vel=-400.3 ce=1435.8 pe=1035.5 | upper_range_bearish ltp=25775 call=26000 put=25000 pos=0.78 | FII_SHORT [fut_level=SHORT, cash=SELL, oi_velocity_convergence=-549.5]"
